R_gyr,L_gyr,R_acc,L_acc,SampleRate
3.55650486946106,0.155308693647385,-2.34382152557373,-5.59099054336548,
3.78209772109985,0.162572094798088,-1.67973871231079,-5.16128997802734,
3.94872879981995,0.174535349011421,-0.996124100685120,-5.28580551147461,
4.07220673561096,0.207220673561096,-1.13040555715561,-5.63493747711182,
4.19696636199951,0.231147187948227,-1.70415349006653,-5.6178469657898,
4.30185832977295,0.237128812074661,-2.16315183639526,-5.39811363220215,
4.4011962890625,0.219824814796448,-2.47077841758728,-5.29312992095947,
4.52360601425171,0.222174742817879,-2.81991019248962,-5.40787954330444,
4.64665670394898,0.239265108108521,-3.28379144668579,-5.34928426742554,
4.75304403305054,0.258491760492325,-3.69396018981934,-5.30045433044434,
4.83678674697876,0.271309536695480,-4.11389474868774,-5.26139068603516,
4.89275798797607,0.292031610012054,-4.53138809204102,-5.27115659713745,
4.94723339080811,0.308908355236054,-5.27848119735718,-5.31266174316406,
5.02328538894653,0.316599017381668,-6.34296684265137,-5.2931300163269,
5.130100440979,0.309762865304947,-7.35862274169922,-5.14908275604248,
5.24503307342529,0.305703902244568,-8.32789030075073,-5.01480121612549,
5.32535791397095,0.288827162981033,-9.2336799621582,-4.93423252105713,
5.35761585235596,0.283700060844421,-10.1834161758423,-5.02456712722778,
5.37064733505249,0.268745994567871,-11.2747573852539,-4.9220251083374,
5.3830379486084,0.244178596138954,-12.9447301864624,-4.77553625106812,
5.42747278213501,0.219611194729805,-15.1322969436646,-4.74623851776123,
5.47297592163086,0.209570598602295,-17.463911819458,-4.76088733673096,
5.46549863815308,0.187566760182381,-19.6221797943115,-4.67299394607544,
5.34009828567505,0.161076694726944,-21.0602127075195,-4.78530206680298,
5.00555419921875,0.143345439434052,-21.4606143951416,-5.07339696884155,
4.49882497787476,0.116214479506016,-20.3936870574951,-4.95376424789429,
3.48963899612427,0.0600299051031470,-15.5082851409912,-4.72426509857178,
2.31232633590698,0.00769066438078880,-17.422406578064,-5.44206056594849,
1.88122191429138,-0.00192266609519720,-26.6267879486084,-5.39078941345215,
1.81243317127228,-0.0294808797538281,-27.6717418670654,-4.65834493637085,
1.67827382087708,-0.126682332158089,-24.9153099060059,-4.81704139709473,
1.29053614139557,-0.209784239530563,-24.9372833251953,-5.10513591766357,
0.532578492164612,-0.274086737632752,-24.2780841827393,-4.93423261642456,
-0.128604996204376,-0.356547731161118,-22.3151340484619,-4.85366373062134,
-0.344370853900909,-0.453749191761017,-22.0221549987793,-5.04165773391724,
-0.416150379180908,-0.538773775100708,-19.6661270141602,-4.79262657165527,
-0.553941476345062,-0.624439239501953,-15.3764453887939,-4.63637170791626,
-0.759666728973389,-0.692587065696716,-11.4554271697998,-5.86443643569946,
-0.957060420513153,-0.720572507381439,-9.28983421325684,-6.26972227096558,
-0.957914936542511,-0.762443923950195,-9.23856315612793,-4.29456443786621,
-0.941679108142853,-0.866908788681030,-8.41578407287598,-3.85753946304321,
-0.875026714801788,-0.944242691993714,-7.49778709411621,-5.35904998779297,
-0.989532184600830,-1.0299081325531,-7.09982566833496,-5.64226169586182,
-0.947874402999878,-1.15637683868408,-6.74092807769775,-5.39078941345215,
-2.42982268333435,-1.27024142742157,-1.8701741695404,-5.31510334014893,
-6.04443469047546,-1.38966028690338,27.0442799687386,-5.44938488006592,
-1.59559917449951,-1.60350346565247,10.6619457244873,-6.03289861679077,
2.58598594665527,-2.00213632583618,-29.3563639640808,-5.80339937210083,
0.760521268844604,-2.35398426055908,-37.9821159362793,-5.95721292495728,
-0.286904501914978,-2.65071568489075,-31.9956039428711,-5.64226179122925,
0.180944234132767,-2.96923732757568,-11.626330947876,-5.4811243057251,
0.600512713193893,-3.40183725357056,1.47953720092774,-5.8497878074646,
0.433027136325836,-3.86690874099731,4.74867978096008,-5.11490182876587,
0.0952787876129150,-4.3623158454895,-4.9293493270874,-3.84777336120606,
0.174321724474430,-4.95556497573853,-13.281654548645,-2.42439024448395,
0.378124335408211,-6.06579780578613,-9.82451839447021,0.112308120727539,
0.361674845218658,-7.56846799850464,-4.32630386352539,1.45023956298828,
0.286477249860764,-7.66374683380127,-3.96252293586731,-6.31122760772705,
0.303781235218048,-7.03567609786987,-5.93523941040039,-13.1546979904175,
0.382824176549911,-6.7425763130188,-6.11102600097656,-12.5443279266357,
0.405682551860809,-6.42960910797119,-4.95864734649658,-12.3807483673096,
